Regulated Donee,Donor,Donation Type,Date Accepted,Date Reported,Measure Names,Destination,Nature Of Donation,Position Standing For,Purpose Of Visit,Value
Dan Jarvis MP," Peter Hearn",Cash,31/07/2017,18/08/2017,Value,,,,,"£12,500.00"
Dan Jarvis MP," Peter Hearn",Cash,15/11/2017,12/12/2017,Value,,,,,"£12,500.00"
Dan Jarvis MP," Peter Hearn",Cash,04/05/2018,24/05/2018,Value,,,,,"£12,500.00"
Dan Jarvis MP," Peter Hearn",Cash,02/10/2018,25/10/2018,Value,,,,,"£12,500.00"
Dan Jarvis MP," Peter Hearn",Cash,28/03/2019,09/04/2019,Value,,,,,"£12,500.00"
Dan Jarvis MP," Peter Hearn",Cash,03/09/2019,24/09/2019,Value,,,,,"£12,500.00"
Dan Jarvis MP,Creative Coalition Campaign Secretariat,Non Cash,10/07/2012,17/07/2012,Value,,Other,,,"£2,499.60"
Dan Jarvis MP,Embassy of Japan,Visit,11/02/2017,08/03/2017,Value,Japan,,,"to gain a greater insight into Japanese affairs in fields including defence, foreign affairs, economy, and technology.","£9,484.59"
Dan Jarvis MP,MPM Connect Ltd,Cash,15/01/2020,27/02/2020,Value,,,,,"£12,500.00"
Dan Jarvis MP,MPM Connect Ltd,Cash,22/08/2020,27/08/2020,Value,,,,,"£12,500.00"
Dan Jarvis MP,MPM Connect Ltd,Cash,01/02/2021,02/02/2021,Value,,,,,"£12,500.00"
Dan Jarvis MP,MPM Connect Ltd,Cash,18/06/2021,21/06/2021,Value,,,,,"£12,500.00"
Dan Jarvis MP,MPM Connect Ltd,Cash,03/11/2021,05/11/2021,Value,,,,,"£12,500.00"
Dan Jarvis MP,MPM Connect Ltd,Cash,06/04/2022,07/04/2022,Value,,,,,"£12,500.00"
Dan Jarvis MP,MPM Connect Ltd,Cash,28/06/2022,29/06/2022,Value,,,,,"£12,500.00"
Dan Jarvis MP,MPM Connect Ltd,Cash,04/10/2022,04/10/2022,Value,,,,,"£12,500.00"
Dan Jarvis MP,MPM Connect Ltd,Cash,04/01/2023,09/01/2023,Value,,,,,"£12,500.00"
Dan Jarvis MP,MPM Connect Ltd,Cash,17/04/2023,18/04/2023,Value,,,,,"£13,500.00"
Dan Jarvis MP,MPM Connect Ltd,Cash,31/07/2023,31/07/2023,Value,,,,,"£13,500.00"
Dan Jarvis MP,OPD Group Ltd,Cash,30/10/2023,30/10/2023,Value,,,,,"£13,500.00"
Dan Jarvis MP,Save The Children UK,Visit,31/07/2012,29/08/2012,Value,India,,,To visit Save the Children projects in Delhi and Rajasthan,"£1,833.00"
Dan Jarvis MP,Sir Trevor Chinn,Cash,29/03/2016,29/03/2016,Value,,,,,"£2,500.00"
Dan Jarvis MP,Sir Trevor Chinn,Cash,20/04/2016,06/05/2016,Value,,,,,"£2,500.00"
Dan Jarvis MP,Sir Trevor Chinn,Cash,23/05/2016,09/08/2016,Value,,,,,"£2,500.00"
Dan Jarvis MP,Sir Trevor Chinn,Cash,25/07/2016,05/09/2016,Value,,,,,"£2,500.00"
Dan Jarvis MP,Sir Trevor Chinn,Cash,26/03/2018,24/05/2018,Value,,,,,"£3,500.00"
Dan Jarvis MP,Twiggs Grounds Maintenance Ltd,Cash,11/02/2022,16/03/2022,Value,,,,,"£3,000.00"
Dan Jarvis MP,UNISON Yorkshire and Humberside,Cash,05/03/2018,03/04/2018,Value,,,,,"£4,000.00"
Dan Norris," Jonathan Neil Mendelsohn",Cash,01/11/2022,01/11/2022,Value,,,,,"£5,000.00"
Dan Norris,BAA Plc,Non Cash,12/08/2001,01/09/2001,Value,,Travel,,,"£5,245.20"
Dan Norris,Mr David Claydon,Cash,17/12/2022,17/12/2023,Value,,,,,"£2,500.00"
Dan Norris,UK-China Forum,Visit,07/09/2008,01/10/2008,Value,"Bejing, China",,,To attend UK-China Leadership of Future forum,"£4,239.00"
Daniel Byles MP,All-Party Parliamentary China Group,Visit,16/10/2010,01/11/2010,Value,Shanghai and Beijing,,,Update knowledgement of Chinese development.,"£2,421.47"
Daniel Byles MP,Government of the United Arab Emirates,Visit,23/11/2012,10/12/2012,Value,"Abu Dhabi and Dubai, UAE",,,"To meet with Government ministers, Members of the Federal National
council, UK diplomats and armed forces personnel and senior UK and Emirati business
figures with the aim of strengthening and promoting relations with the UAE.","£3,500.00"
Daniel Hannan,BAA Plc,Non Cash,02/07/2001,01/08/2001,Value,,Travel,,,"£3,933.90"
Daniel Johnson,"Ministry of Foreign Affairs, Republic of China",Visit,08/10/2017,31/10/2017,Value,"Ministry of Foreign Affairs, Republic of China (Taiwan).",,,"To meet with a number of Government departments, as well as trade and cultural organisations. The total cost of the flight, hotel and ancillary expenses was £6400.","£6,400.00"
Daniel Kawczynski MP," Jane Dawnay",Cash,20/06/2016,05/09/2016,Value,,,,,"£2,500.00"
Daniel Kawczynski MP,Anglo Arab Organisation,Visit,06/12/2007,01/01/2008,Value,Sudan,,,Visit refugee camps in Dafur & President of Sudan,"£7,000.00"
Daniel Kawczynski MP,Conservative Arab Network,Non Cash,08/02/2010,01/03/2010,Value,,Hospitality,,,"£2,498.33"
Daniel Kawczynski MP,Conservative Friends of Israel,Visit,20/02/2009,01/03/2009,Value,Israel,,,not recorded,"£1,001.00"
Daniel Kawczynski MP,Doha Foundation,Visit,13/10/2009,01/11/2009,Value,"Doha, Qatar",,,Participate in the Doha Debates.,"£4,000.00"
Daniel Kawczynski MP,Government of Saudi Arabia,Visit,07/02/2008,01/03/2008,Value,Saudi Arabia,,,Visit to Government of Saudi Arabia.,"£3,405.00"
Daniel Kawczynski MP,Government of the Republic of Kazakhstan via the Embassy of the,Visit,17/03/2023,05/04/2023,Value,"Astana, Kazakhstan",,,Invited by the Government of Kazakhstan to observe the country's legislative election which took place on Sunday 19 March 2023.,"£5,100.00"
Daniel Kawczynski MP,Government of the United Arab Emirates,Visit,23/11/2012,13/12/2012,Value,Abu Dhabi and Dubai UAE,,,"To meet with Government ministers, Members of the Federal National
council, UK diplomats and armed forces personnel and senior UK and Emirati business
figures with the aim of strengthening and promoting relations with the UAE.","£3,500.00"
Daniel Kawczynski MP,Government of Tunisia,Visit,07/01/2011,04/02/2011,Value,Tunis,,,Travel to Tunis at invitation of the Ambassador of Tunisia to the Court of St James for meetings with Government ministers and officials.,"£1,907.00"
Daniel Kawczynski MP,HM Government of Gibraltar,Visit,06/09/2019,26/09/2019,Value,Gibraltar,,,"Cultural and political meetings and engagements. Flight and accommodation for two people, value £2,664","£2,664.00"
Daniel Kawczynski MP,Industrie de Peche & Representation (IPR),Visit,19/06/2011,23/08/2011,Value,"Nouakchott, Islamic Republic of Mauritania",,,Meeting the President and Ministers of Mauritania to renew and strengthen diplomatic and economic ties. Also met with British Foreign and Commonwealth Office officials from Casablanca who were establishing a presence in the country via a political office i,"£3,220.00"
Daniel Kawczynski MP,Majlis A'Shura,Visit,28/05/2008,01/06/2008,Value,Muscat,,,Meet Ministers and Members of Parliament,"£3,000.00"
Daniel Kawczynski MP,Majlis As Shura - Shura Council of Kingdom Saudi Arabia,Visit,04/12/2011,29/12/2011,Value,"Riyadh, Saudi Arabia",,,"All Party Parliamentary Group visit to Riyadh at the invitation of the Shura Council to meet with Members of the Shura Council, Government Ministers and various human rights groups to further understanding of the Kingdom and its latest developments as well","£3,025.00"
Daniel Kawczynski MP,Midstream Energy,Non Cash,24/03/2011,29/03/2011,Value,,Hospitality,,,"£3,000.00"
Daniel Kawczynski MP,Ministry of Foreign Affairs (Saudi Arabia),Visit,16/02/2014,13/03/2014,Value,"Riyadh, Saudi Arabia",,,"All party parliamentary delegation at the invitation of the Shura Council, to meet the Deputy Speaker, Foreign Affairs Committee, Second Deputy Premier, government ministers and Governor of the Saudi Arabia Monetary Authority. Also to visit King Saud Unive","£5,292.00"
Daniel Kawczynski MP,Norfolk Island Council of Elders,Visit,29/08/2016,27/09/2016,Value,Norfolk Island,,,to travel to Norfolk Island as a guest of the Council of Elders to meet with representatives of the local community and investigate the constitutional and governmental changes introduced by the Commonwealth of Australia.,"£2,011.72"
Daniel Kawczynski MP,Presence Switzerland,Visit,26/05/2011,05/07/2011,Value,"Vaduz, Zurich, Chur, Lugano and Bern, Switzerland",,,"All-Party British-Swiss and British-Liechtenstein Parliamentary Groups’ visit to Switzerland and Liechtenstein. A political visit to the financial, political and business institutions of Switzerland and Liechtenstein.","£2,263.00"
Daniel Kawczynski MP,Shoura Council of Saudi Arabia,Visit,05/10/2009,01/11/2009,Value,Saudi Arabia,,,Meet with members of Shoura Council and Ministers.,"£5,000.00"
Daniel Kawczynski MP,Shura Council of Saudi Arabia,Visit,09/04/2017,02/05/2017,Value,"Riyadh, Saudi Arabia",,,To strengthen British - Saudi Arabian diplomatic relations,"£6,722.14"
Daniel Kawczynski MP,The Electrum Group (UK) LLP,Visit,07/10/2012,05/11/2012,Value,"Nouakchott, Mauritania",,,To attend mining conference in Nouakchott.,"£3,042.59"
Daniel Kawczynski MP,Wightman International Limited,Visit,19/02/2023,16/03/2023,Value,Wightman International Limited,,,"To learn about why the city of Danville in Virginia has been revitalised from foreign direct investment, and how it is addressing the shortage in manufacturing skills needed for the defence industry. My member of staff accompanied me to coordinate logistic","£4,375.72"
Daniel Poulter MP,Roger Skinner Ltd,Cash,03/11/2014,25/11/2014,Value,,,,,"£12,500.00"
Daniel Zeichner MP,All-Party Parliamentary China Group,Visit,19/09/2015,08/10/2015,Value,"China (Beijing, Shenyang and Dalian)",,,To maintain and strengthen relations between the UK Parliament and the National People’s Congress of China; to learn about and support British businesses operating in China; and to deepen the knowledge and understanding of parliamentarians of China.,"£2,998.65"
Daria Jean Taylor MP,Labour Friends of Israel,Visit,02/09/2007,01/10/2007,Value,Israeli and Palestinian territories,,,Party of parliamentary delegates.,"£1,425.00"
Daria Jean Taylor MP,Oil and Gas UK,Visit,26/08/2008,01/09/2008,Value,"Stavanger, Norway",,,To attend ONS conference.,"£2,355.13"
Darren Jones,Discipline Media Ltd,Cash,12/09/2018,28/09/2018,Value,,,,,"£6,000.00"
Darren Jones,Lord Matthew Oakeshott,Cash,26/09/2019,07/10/2019,Value,,,,,"£5,000.00"
Darren Jones,Mr Jason Stockwood,Cash,07/01/2019,09/01/2019,Value,,,,,"£4,000.00"
Darren Jones,Plexal (City) Limited,Non Cash,27/10/2020,29/10/2020,Value,,Premises,,,"£3,168.00"
Darren Jones,PWC LLP,Non Cash,02/08/2018,28/08/2018,Value,,Hospitality,,,"£1,992.65"
Darren Jones,The Joseph Rowntree Reform Trust,Cash,01/03/2018,02/03/2018,Value,,,,,"£19,000.00"
Darren Jones,The Joseph Rowntree Reform Trust,Cash,05/08/2019,12/08/2019,Value,,,,,"£19,000.00"
Darren Jones,Zebra Technologies Europe Limited,Cash,07/10/2019,07/10/2019,Value,,,,,"£10,000.00"
Darren Millar,Conservative Friends of Israel,Visit,20/08/2017,20/09/2017,Value,Israel,,,Fact finding and political delegation to Israel and the West Bank.,"£2,000.00"
Darren Millar,Open Doors UK,Visit,08/09/2018,28/09/2018,Value,Middle East,,,Visit charity projects supporting religious minorities,"£1,754.29"
Darren Millar,The Evan Roberts Institute,Visit,24/02/2019,25/03/2019,Value,Israel and the West Bank,,,Heritage promotion and fact finding visit,"£2,431.71"
Dave Watts MP,All Party Parliamentary Group on Japan,Visit,17/03/2012,11/04/2012,Value,Japan,,,"to promote relations between parliamentarians in Westminster and the Diet, to promote trade and to look at the tsunami affected area.","£2,000.00"
Dave Watts MP,Government of Japan,Visit,17/03/2012,11/04/2012,Value,Japan,,,"to promote relations between parliamentarians in Westminster and the Diet, to promote trade and to look at the tsunami affected area","£2,500.00"
Dave Watts MP,Government of the Hong Kong Special Administrative Region,Visit,25/05/2014,24/06/2014,Value,Hong Kong,,,"All Party Parliamentary China Group delegation to understand more about 
the political and economic environment in Hong Kong and the progress towards universal 
suffrage and to engage with and support bids by British business.","£10,567.37"
Dave Watts MP,Manchester Airport Plc,Non Cash,05/10/2001,01/11/2001,Value,,Travel,,,"£5,100.00"
David A Laws MP,Mr Paul Marshall,Cash,18/10/2003,01/11/2003,Value,,,,,"£4,000.00"
David Amess MP,97 Dining Club,Cash,22/04/2015,23/07/2015,Value,,,,,"£6,500.00"
David Amess MP,BAA Plc,Non Cash,31/07/2001,01/08/2001,Value,,Travel,,,"£5,245.20"
David Amess MP,British University in Egypt,Visit,13/06/2014,10/07/2014,Value,"Cairo, Egypt",,,"To meet the new President, government ministers, religious leaders, British Council, IPU and representatives of civil society and discuss developments in the run up to parliamentary elections.","£3,300.00"
David Amess MP,Conservative Friends of Israel & Government of Israel,Visit,20/02/2009,01/03/2009,Value,Israel,,,Fact-finding mission,"£2,000.00"
David Amess MP,Election Commission of the Maldives,Visit,21/08/2018,12/09/2018,Value,Maldives,,,To observe preparations for the Presidential Election due to be held on 23 September 2018.,"£5,275.66"
David Amess MP,Government of Qatar,Visit,30/04/2004,01/05/2004,Value,Qatar,,,To evaluate politics in Middle East.,"£4,000.00"
David Amess MP,High Commission of the Maldives,Visit,13/02/2016,11/03/2016,Value,the Maldives,,,"Delegation as part of the All-Party British Maldives Parliamentary Group involving meetings with the President and Cabinet, representative of political parties and the judiciary.","£8,303.09"
David Amess MP,Hong Kong Economic and Trade Office,Visit,19/02/2011,21/03/2011,Value,Hong Kong,,,"To strengthen bilateral ties and deepen understanding between the UK and Hong Kong, and to update knowledge and awareness of Hong Kong’s political, social and economic development.","£7,752.29"
David Amess MP,Industry and Parliament Trust,Visit,11/03/2009,01/04/2009,Value,Mumbai and Chennai,,,Industry & Parliament trust fellowship,"£1,950.00"
David Amess MP,Iran Liberty Association,Visit,23/09/2010,01/10/2010,Value,New York,,,Deliver speech on behalf of Iranian community.,"£4,487.57"
David Amess MP,Maldives Government,Visit,02/09/2008,01/10/2008,Value,Maldives,,,To advise on good election procedures practice.,"£4,999.00"
David Amess MP,Ministry of Foreign Affairs - Qatar,Visit,13/02/2018,22/02/2018,Value,Qatar,,,"British-Qatar APPG visit to meet Ministers and officials, discuss GCC crisis, and discuss bilateral relations and regional issues.","£4,600.00"
David Amess MP,Ministry of Foreign Affairs - Qatar,Visit,15/02/2020,27/03/2020,Value,Qatar,,,"British-Qatar APPG visit to meet Ministers and officials, discuss the Gulf Cooperation Council crisis, Workers’ rights, bilateral relations and regional issues.","£4,100.00"
David Amess MP,Ministry of Foreign Affairs (Saudi Arabia),Visit,16/02/2014,12/03/2014,Value,"Riyadh, Saudi Arabia",,,"All party parliamentary delegation at the invitation of the Shura Council, to meet the Deputy Speaker, Foreign Affairs Committee, Second Deputy Premier, government ministers and Governor of the Saudi Arabia Monetary Authority. Also to visit King Saud Unive","£5,292.00"
David Amess MP,Mr Maurice Bennett,Visit,11/04/2009,01/05/2009,Value,China,,,Fact-finding mission,"£2,500.00"
David Amess MP,Qatar Government,Visit,02/06/2010,01/07/2010,Value,"Doha, Qatar",,,Attend Forum on Democracy,"£5,000.00"
David Amess MP,Swiss Foreign Ministry,Visit,03/04/2017,02/05/2017,Value,"Switzerland (Zurich, Bern, Lausanne, Geneva)",,,"Participation in a study trip to Switzerland (Swiss-EU relations, Swiss financial centre, Science and Innovation, International Geneva)","£1,900.00"
David Amess MP,The European Azerbaijan Society,Visit,26/05/2014,13/06/2014,Value,"Baku, Shaki and Gabala, Azerbaijan",,,"To meet with political and parliamentary figures including the President of the 
Republic, ministers, the British Ambassador, local public service centres, representatives of 
international organisations, human rights groups and IDP/Refugee camp of displac","£2,543.00"
David Amess MP,The Ministry of Foreign Affairs of the Republic of Maldives,Visit,23/07/2016,19/08/2016,Value,Republic of Maldives,,,"Follow-up delegation of the APPG for the Maldives. The group met with opposition and government MPs of all parties, political prisoners and members of the judiciary.","£4,634.66"
David Amess MP,Virgin Atlantic Airways Ltd,Visit,20/05/2008,01/06/2008,Value,China,,,Industry and Parliament trust fellowship,"£2,634.00"
David Amess MP,Virgin Atlantic Airways Ltd,Visit,11/03/2009,01/04/2009,Value,Mumbai and Chennai,,,Industry and Parliament trust fellowship,"£1,593.80"
David Amess MP,Yunus Emre Enstitüsü (Yunus Emre Institute) & ITSEB,Visit,04/08/2019,23/08/2019,Value,Turkey,,,"Delegation of Conservative MPs to see the conditions of Syrian refugee camps and meet key officials, ministers, governors and mayors, also to visit the Turkish Grand National Assembly and trade and industry chambers. Travel and accommodation with a value o","£2,553.00"
David Anderson MP,Government of Kuwait,Visit,18/09/2005,01/10/2005,Value,Kuwait,,,As member of All-Party Parliamentary Kuwait Group.,"£3,005.60"
David Anderson MP,Grand Central Railway Company,Non Cash,03/01/2011,12/05/2011,Value,,Travel,,,"£5,000.00"
David Anderson MP,Islamic Dawa Party,Visit,12/05/2008,01/06/2008,Value,Baghdad,,,Fact finding visit with Minsiters,"£2,796.00"
David Anderson MP,Kurdistan Regional Government,Visit,08/02/2008,01/03/2008,Value,Kurdistan region of Iraq,,,Fact-finding visit.,"£3,573.00"
David Anderson MP,Labour Friends of Iraq,Visit,31/03/2006,01/04/2006,Value,Iraq,,,As Chair of Labour Friends of Iraq.,"£1,760.00"
David Anderson MP,Labour Friends of Israel,Visit,26/02/2006,01/03/2006,Value,Israel and Palestinian territories,,,Party of Parliamentary delegates,"£1,366.00"
David Anderson MP,"Ministry of Anfal and Martyrs Affairs, Kurdistan",Visit,12/03/2013,02/05/2013,Value,Kurdistan,,,"As part of the All-Party Parliamentary Group on the Kurdistan Region in Iraq, to commemorate the 25th anniversary of the Kurdish Genocide.","£4,300.00"
David Anderson MP,Universal Peace Federation,Visit,29/08/2007,01/09/2007,Value,Israel & Palestine,,,Promotion of peace in the Middle East,"£1,415.00"
David Anderson MP,Universal Peace Federation,Visit,28/08/2008,01/09/2008,Value,"Nairobi, Kenya",,,Attend Global Peace Conference.,"£1,547.00"
David Anderson MP,Universal Peace Federation,Visit,01/02/2009,01/03/2009,Value,New York City,,,Attend peace conference.,"£1,050.00"
David Blunkett MP,Australia and New Zealand School of Government,Visit,22/11/2009,01/12/2009,Value,"Sydney, Canberra, Melbourne, and Brisbane",,,"Give lectures, fundraise for charity, meetings.","£4,800.00"
David Blunkett MP,Labour Friends of Israel,Visit,30/11/2007,01/12/2007,Value,Israel and Palestine,,,Political visit.,"£1,274.00"
David Blunkett MP,Vision Australia,Visit,22/11/2009,01/12/2009,Value,"Sydney, Canberra, Melbourne, Brisbane",,,"Give lectures, fundraise for charity, meetings.","£3,000.00"
David Borrow MP,Results UK,Visit,10/09/2009,01/10/2009,Value,India,,,Learn how India is addressing major health issues.,"£1,199.69"
David Burrowes MP,Israel Allies Foundation,Visit,12/10/2014,03/11/2014,Value,Israel,,,To attend conference of parliamentarians from across the world to discuss issues surrounding religious freedom in the Middle East.,"£2,276.00"
David Cairns MP,BAA Plc,Non Cash,09/10/2001,01/11/2001,Value,,Travel,,,"£5,245.20"
David Cairns MP,International AIDS Vaccine Initiative (IAVI),Visit,25/01/2011,25/01/2011,Value,Kenya and Uganda,,,"To visit field-trials for potential AIDS vaccines being carried out by IAVI, and meet with AIDS campaigners in both countries.","£1,860.32"
David Cairns MP,Labour Friends of Israel,Visit,30/06/2003,01/07/2003,Value,Israel & Palestinian territory,,,Party of parliamentary delegates,"£1,339.00"
David Cairns MP,Labour Friends of Israel,Visit,17/10/2004,01/11/2004,Value,Israel & Palestinian territory,,,Party of parliamentary delegates,"£1,366.00"
David Cairns MP,Labour Friends of Israel,Visit,13/09/2009,01/10/2009,Value,Israel & Palestine,,,Party of Parliamentary Delegates.,"£1,528.00"
David Cameron MP," Jamie Borwick",Cash,26/10/2005,01/11/2005,Value,,,,,"£5,000.00"
David Cameron MP,Abbey Business Centres Ltd,Cash,17/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,BAA Plc,Non Cash,11/07/2001,01/08/2001,Value,,Travel,,,"£5,245.20"
David Cameron MP,Border Harvesters Ltd,Cash,13/10/2005,01/11/2005,Value,,,,,"£5,000.00"
David Cameron MP,Captain Cloud Ltd,Cash,05/12/2005,01/01/2006,Value,,,,,"£10,000.00"
David Cameron MP,"Czech, Moravian and Slovak Chemicals Ltd",Cash,28/10/2005,01/11/2005,Value,,,,,"£5,000.00"
David Cameron MP,Eldersfield Consulting Ltd,Cash,27/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,Finsbury Sailing LLP,Non Cash,15/11/2005,01/12/2005,Value,,Travel,,,"£19,000.00"
David Cameron MP,Firoka (Heythorp Park) Ltd,Cash,26/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,Harris Ventures Ltd,Non Cash,10/11/2005,01/12/2005,Value,,Travel,,,"£55,000.00"
David Cameron MP,Historical Portraits Ltd,Cash,26/10/2005,01/11/2005,Value,,,,,"£5,000.00"
David Cameron MP,Insinger de Beaufort,Cash,17/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,Intercapital Private Group Ltd,Cash,09/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,Jacksons Bournemouth Ltd,Cash,03/11/2005,01/12/2005,Value,,,,,"£10,000.00"
David Cameron MP,Jayroma (London) Ltd,Cash,20/08/2005,01/09/2005,Value,,,,,"£10,000.00"
David Cameron MP,London and Regional Properties Ltd,Cash,28/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,Lord John Sainsbury of Preston Candover,Cash,12/10/2005,01/11/2005,Value,,,,,"£5,000.00"
David Cameron MP,Lord na Chadlington,Cash,12/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,Lord Philip Harris,Cash,01/08/2005,01/09/2005,Value,,,,,"£90,000.00"
David Cameron MP,Mr Adam Ayfryie MP,Cash,03/11/2005,01/12/2005,Value,,,,,"£5,000.00"
David Cameron MP,Mr Alasdair JC Currie,Cash,17/10/2005,01/11/2005,Value,,,,,"£5,000.00"
David Cameron MP,Mr Dominic Casserley,Cash,14/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,Mr Ed Hall,Cash,12/12/2005,01/01/2006,Value,,,,,"£5,000.00"
David Cameron MP,Mr George Hollingbery,Cash,11/11/2005,01/12/2005,Value,,,,,"£5,000.00"
David Cameron MP,Mr James Lyle,Cash,07/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,Mr Jonathan Green,Cash,26/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,Mr Ken Costa,Cash,17/11/2005,01/12/2005,Value,,,,,"£2,500.00"
David Cameron MP,Mr Lewis Chester,Cash,05/11/2005,01/12/2005,Value,,,,,"£10,000.00"
David Cameron MP,Mr Mark Foster-Brown,Cash,03/11/2005,01/12/2005,Value,,,,,"£10,000.00"
David Cameron MP,Mr Michael Pass,Cash,05/12/2005,01/01/2006,Value,,,,,"£5,000.00"
David Cameron MP,Mr Mike Balfour,Cash,21/10/2005,01/11/2005,Value,,,,,"£5,000.00"
David Cameron MP,Mr Paddy Gillford,Non Cash,04/10/2005,01/11/2005,Value,,Hospitality,,,"£3,200.00"
David Cameron MP,Mr Paul Dominic Vail,Cash,26/10/2005,01/11/2005,Value,,,,,"£3,000.00"
David Cameron MP,Mr Peter Czernin,Cash,14/10/2005,01/11/2005,Value,,,,,"£5,000.00"
David Cameron MP,Mr Peter Dubens,Cash,13/12/2005,01/01/2006,Value,,,,,"£5,000.00"
David Cameron MP,Mr Robert Fleming,Cash,04/11/2005,01/12/2005,Value,,,,,"£10,000.00"
David Cameron MP,Mr Simon Wolfson,Cash,15/08/2005,01/09/2005,Value,,,,,"£10,000.00"
David Cameron MP,Mr Tim Carrington,Cash,26/10/2005,01/11/2005,Value,,,,,"£5,000.00"
David Cameron MP,Mr Trevor Pears,Cash,13/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,Mr Trevor Pears,Cash,03/11/2005,01/12/2005,Value,,,,,"£10,000.00"
David Cameron MP,Mrs Susan M Anstey,Cash,17/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,Mrs Susan M Anstey,Cash,21/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,Ms Edwina Herrmann,Cash,03/11/2005,01/12/2005,Value,,,,,"£10,000.00"
David Cameron MP,Murphshore Ltd,Cash,01/11/2005,01/12/2005,Value,,,,,"£5,000.00"
David Cameron MP,Tamares Real Estate Investments (UK) Ltd,Cash,17/10/2005,01/11/2005,Value,,,,,"£5,000.00"
David Cameron MP,Tamares Real Estate Investments UK Ltd,Cash,03/11/2005,01/12/2005,Value,,,,,"£10,000.00"
David Cameron MP,Tangent Industries Ltd,Cash,09/10/2005,01/11/2005,Value,,,,,"£10,000.00"
David Cameron MP,Tufton Services Ltd,Cash,01/11/2005,01/12/2005,Value,,,,,"£10,000.00"
David Cameron MP,Viscount William Astor,Non Cash,02/10/2005,01/11/2005,Value,,Travel,,,"£7,285.00"
David Campbell Bannerman,EP Taiwan Informal Friendship Intergroup,Visit,15/05/2011,12/07/2011,Value,"Taiwan (Taipei, Tainan)",,,"To meet political representatives of Taiwan, including President Ma, on occasion of the 100th anniversary of the Republic of China.","£1,501.00"
David Chaytor MP,Association of Professionals in Education & Children's Trusts,Non Cash,01/11/2006,01/12/2006,Value,,Staff costs,,,"£5,000.00"
David Chaytor MP,BAA Plc,Non Cash,30/06/2001,01/07/2001,Value,,Travel,,,"£5,245.20"
David Chaytor MP,Manchester Airport Plc,Non Cash,30/10/2001,01/11/2001,Value,,Travel,,,"£5,100.00"
David Chidgey MP,BAA Plc,Non Cash,31/07/2001,01/08/2001,Value,,Travel,,,"£5,245.20"
David Clelland MP,BAA Plc,Non Cash,09/07/2001,01/08/2001,Value,,Travel,,,"£5,245.20"
David Clelland MP,Kingdom of Bahrain Government,Non Cash,12/10/2003,01/11/2003,Value,,Premises,,,"£1,600.00"
David Davies MP,All Party Parliamentary China Group,Visit,16/12/2011,04/01/2012,Value,"China, Shanghai, Beijing and Chengdu",,,to maintain and strengthen relations between Parliament and the National People’s Congress of China; to learn about and support British businesses operating in China; and to deepen the knowledge and understanding of parliamentarians of China.,"£2,199.98"
David Davies MP,Conservative Friends of Israel,Visit,11/06/2006,01/07/2006,Value,Israel,,,Fact-finding visit.,"£2,000.00"
David Davis MP," Paul Sykes",Non Cash,22/11/2023,23/11/2023,Value,,Advertising,,,"£10,000.00"
David Davis MP," Tony Buckingham",Non Cash,29/11/2012,11/12/2012,Value,,Travel,,,"£4,000.00"
David Davis MP,Abbey Business Centres Ltd,Cash,26/10/2005,01/11/2005,Value,,,,,"£5,000.00"
David Davis MP,Aberdeen Asset Management Ltd,Visit,22/01/2019,08/02/2019,Value,Davos,,,Attend the World Economic Forum in Davos,"£5,126.22"
David Davis MP,Anglo Scottish Properties,Cash,20/09/2005,01/10/2005,Value,,,,,"£5,000.00"
David Davis MP,Annabel's (Berkeley Square) Ltd,Cash,11/09/2005,01/10/2005,Value,,,,,"£3,000.00"
David Davis MP,Annabel's (Berkeley Square) Ltd,Non Cash,13/09/2005,01/10/2005,Value,,Travel,,,"£6,800.00"
David Davis MP,Arbuthnot Banking Group Plc,Cash,01/07/2005,01/08/2005,Value,,,,,"£50,000.00"
David Davis MP,Arbuthnot Ltd,Cash,27/10/2005,01/11/2005,Value,,,,,"£50,000.00"
David Davis MP,Chickasaw Nation,Visit,14/11/2018,12/12/2018,Value,"Washington DC, and Oklahoma City, OK, USA",,,Attended meetings on Capitol Hill in Washington. Attended meetings in Oklahoma State Capital and Oklahoma State University,"£4,052.00"
David Davis MP,E Foundation,Visit,14/11/2018,12/12/2018,Value,"Washington DC, and Oklahoma City, OK, USA",,,Attended meetings on Capitol Hill in Washington. Attended meetings in Oklahoma State Capital and Oklahoma State University,"£5,362.00"
